project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,patch,,testcase,,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Cli,11,Cli-11-buggy_ind3,add_test2.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptionWithValidArgNameUsage,Pass,Pass,Pass,Pass,Fixed,,Not Testing the buggy branch/condition,It only verifies the normal valid-arg-name case.,0,0,9,0.375,0,0,1,0.1667,31,15,5,5,31,15,5,5,26,24,6,6,35,15,7,5
Cli,8,Cli-8-buggy_ind1,add_test.java,org.apache.commons.cli.HelpFormatterTest,testPrintWrappedLongWordWithPadding,Pass,Not Pass,Not Pass,Not Pass,Fixed;Extra Function,"Model's fix includes that correction, but also adds a progress guard for the case where wrapping occurs exactly at the indentation boundary.",Exposing another problem,the loop can repeatedly wrap at the indentation boundary without consuming any non-padding text.,13,0.619,0,0,1,0.5,0,0,52,21,2,2,65,8,3,1,72,10,6,2,72,10,6,2
Jacksondatabind,67,JacksonDatabind-67-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer,testNonEnumKeyWithModifier,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,58,Jsoup-58-buggy_ind6,add_test5.java,org.jsoup.safety.CleanerTest,testIsValidWithDisallowedAttribute,Not Pass,Pass,Pass,Pass,Not fixing the correct part,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,41,0,2,0,41,0,2,0,52,0,3,1,52,0,3,1
Chart,17,Chart-17-buggy_ind1,add_test.java,org.jfree.data.time.junit.TimeSeriesTests,testCloneWithSingleItem,Pass,Pass,Pass,Pass,Plausible Patch,"The official fix corrects the implementation of clone() itself by cloning the object and deep-copying its data. Your fix only patches the empty-series boundary case while continuing to use createCopy(), so it may still miss object state that clone() is expected to preserve.",Not Testing the buggy branch/condition,,10,1,9,1,0,0,1,1,0,10,0,0,10,0,0,0,10,9,1,1,19,0,2,0
Closure,71,Closure-71-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckAccessControlsTest,testNoPrivateAccessForProperties6_AdditionalBranch,Not Pass,Not Pass,Not Pass,Not Pass,,,,,2,0.0189,2,0.0137,1,0.037,1,0.0286,103,106,21,27,105,104,22,26,105,146,21,35,107,144,22,34
Closure,92,Closure-92-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ProcessClosurePrimitivesTest,testProvideInIndependentModules6,Pass,Pass,Pass,Pass,Fixed,,Wrong or incomplete understanding of the bug condition.,The test assumes that any nested namespace is enough to expose the parent-namespace insertion bug.,0,0,0,0,0,0,0,0,75,87,8,8,75,87,8,8,75,87,8,8,75,87,8,8
Jsoup,8,Jsoup-8-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,orphanedElementWithAttributes,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,81,Jsoup-81-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,supportsXmlCharsetDeclarationWithSpaces,Not Compilable,Not Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,87,106,12,30,87,106,12,30,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,172,Closure-172-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testIssue1024_AdditionalCase2,Pass,Pass,Pass,Pass,Plausible Patch,getSlot() vs getVar(),Orcale not enough,"The testcase reaches the buggy .prototype branch, but it does not assert or trigger any behavior that depends on whether the assignment is inferred or declared.",0,0,0,0,0,0,1,0.0455,34,61,11,31,34,61,11,31,111,16,30,22,111,16,31,21
Jsoup,58,Jsoup-58-buggy_ind2,add_test1.java,org.jsoup.safety.CleanerTest,testIsValidWithWhitespaceOnly,Not Pass,Pass,Pass,Pass,Not fixing the correct part,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,41,0,2,0,41,0,2,0,52,0,3,1,52,0,3,1
Jacksoncore,18,JacksonCore-18-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures,testBigDecimalWithoutPlainFeature,Not Compilable,Pass,Not Compilable,Pass,,,,,27,0.403,Not Compilable,Not Compilable,4,0.3077,Not Compilable,Not Compilable,18,67,3,13,45,40,7,9,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,8,Closure-8-buggy_ind1,add_test.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testCannotRedeclareFunctionName,Pass,Pass,Pass,Pass,Fixed;Extra Function,Stricter domain,Not Testing the buggy branch/condition,"it targets function-name reassignment, while the actual bug is about mistakenly treating named parameters as redeclarable variables. It does not exercise the isNamedParameter(var) distinction added by the fix.",1,0.3333,0,0,1,0.25,1,0.1429,33,3,6,4,34,2,7,3,34,9,7,7,34,9,8,6
Jsoup,70,Jsoup-70-buggy_ind2,add_test1.java,org.jsoup.nodes.ElementTest,testDoesNotKeepPreTextAtDepthSix,Pass,Pass,Pass,Pass,Fixed,,Not Testing the buggy branch/condition,"The test does not exercise the observable difference introduced by the fix. It places <pre> just outside the fixed code’s search range, so both buggy and fixed implementations return false for preserveWhitespace().",0,0,2,1,0,0,1,0.25,22,6,5,5,22,6,5,5,25,2,6,4,27,0,7,3
Jsoup,34,Jsoup-34-buggy_ind2,add_test1.java,org.jsoup.parser.CharacterReaderTest,nextIndexOfSequenceExactLength,Pass,Pass,Pass,Pass,Fixed,,Not Testing the buggy branch/condition,"It tests the normal successful match path, not the boundary path where the candidate sequence extends past the end of the input.",8,0.6667,24,1,2,0.2857,5,0.5556,60,12,9,7,68,4,11,5,52,24,9,9,76,0,14,4
Jacksondatabind,109,JacksonDatabind-109-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.ser.jdk.BigDecimalPlain2230Test,testBigDecimalWithoutStringShape,Not Compilable,Pass,Not Compilable,Pass,,,,,2,0.0444,Not Compilable,Not Compilable,1,0.1,Not Compilable,Not Compilable,17,45,2,10,19,43,3,9,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,7,Chart-7-buggy,add_test.java,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMinMiddleIndex,Pass,Not Compilable,Not Compilable,Not Compilable,Fixed,,Duplicated Function,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Cli,5,Cli-5-buggy_ind3,add_test2.java,org.apache.commons.cli.UtilTest,testStripLeadingHyphensTripleHyphen,Pass,Pass,Pass,Pass,Fixed,,Not Testing the buggy branch/condition,"The testcase passes on the buggy code because it tests an already-correct case. The fix is about null-safety, but the testcase uses a non-null string, so it never exercises the buggy condition.",0,0,0,0,0,0,0,0,20,2,3,1,20,2,3,1,24,2,5,1,24,2,5,1
Closure,38,Closure-38-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testNegativeZeroAlone,Not Pass,Pass,Pass,Pass,No Fix,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,23,62,3,11,23,62,3,11,23,62,3,11,23,62,3,11
Compress,22,Compress-22-buggy_ind1,add_test.java,org.apache.commons.compress.compressors.bzip2.PythonTruncatedBzip2Test,testMultipleReadsAfterEndOfStream,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,82,204,3,20,82,204,3,20,79,204,3,20,79,204,3,20
Cli,21,Cli-21-buggy_ind1,add_test.java,org.apache.commons.cli2.bug.BugCLI150Test,testPositiveNumber,Pass,Pass,Pass,Pass,Plausible Patch,,Not Testing the buggy branch/condition,"This testcase only checks the normal positive-number argument path. It does not test the buggy condition, because the argument value does not look like an option.",2,1,2,0.25,1,1,1,0.3333,32,2,3,1,34,0,4,0,41,8,5,3,43,6,6,2
Closure,143,Closure-143-buggy_ind1,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDefineFlag_DoubleQuotedString,Not Pass,Not Pass,Pass,Pass,Partially Fix,,Partially Testing,,0,0,0,0,0,0,0,0,75,56,10,12,75,56,10,12,93,51,14,12,93,51,14,12
Jsoup,37,Jsoup-37-buggy_ind3,add_test2.java,org.jsoup.nodes.ElementTest,testPrettyPrintStillTrims,Not Compilable,Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,11,0,0,0,11,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
